P1,P2,K,selIndex,fhbIndex,UBonus,UC
17VDH-SRW03-143,17VDH-SRW03-143,1.56216164139642,1.8662963350749162,-0.016330845288370005,-0.3866188825551845,1.4796774525197316
17VDH-SRW03-143,AGS 3022,0.00542968980726984,1.605513171857401,0.10608923577791005,0.6840019553702071,2.289515127227608
17VDH-SRW03-143,FLLA16124LDH-51,8.63448332105066e-4,1.594314724754712,-0.08498610994555512,0.6871423246992494,2.2814570494539614
17VDH-SRW03-143,GA161137LDH-23-20LE3,0.3022534505604,1.6274493667079732,0.393091876711087,0.47986552512010616,2.1073148918280795
17VDH-SRW03-143,GA16209-1-4-3-23LE9,0.101633886473494,1.4316881587257688,0.10701424462516551,0.6178388516055616,2.0495270103313303
17VDH-SRW03-143,GA17371ID-38-6-3-23E23,0.528062613680548,1.731569617745218,0.06179865595720391,0.32456840079235416,2.056138018537572
17VDH-SRW03-143,LA16038C-4-3-1,0.0168851185755435,1.5723264197931175,0.5051973883086225,0.6761236429001869,2.2484500626933044
17VDH-SRW03-143,LA16049C-27-1-3-1,0.134494221370082,1.5304191092419406,-0.06990245944173479,0.5952396114180777,2.1256587206600184
17VDH-SRW03-143,LA17135C-10-1,-0.166304508078144,1.2430736050175477,-0.09828746781857665,0.687736149330317,1.9308097543478646
17VDH-SRW03-143,LA18003-NDH119,0.040115450618085,1.228820095065869,-1.215923922801002,0.6601473037935848,1.8889673988594538
17VDH-SRW03-143,LA19333NDH-34,0.106493933112773,1.5439540648812855,-0.36972474070038114,0.6144964218442982,2.1584504867255836
17VDH-SRW03-143,SCLANC11558-33,0.10963518673219699,1.5702592202285022,-0.14670809672112234,0.6123360681760056,2.182595288404508
17VDH-SRW03-143,TX20D5145,0.518479374784318,1.4208582120653679,0.44371557361352404,0.33115914060895985,1.7520173526743277
17VDH-SRW03-143,TX22D7465,0.218035585234413,1.3451103075491118,0.0658707995048497,0.5377851955242197,1.8828955030733314
17VDH-SRW03-143,VA20W-142,-0.0733538052967403,1.8690465155094367,0.06088195786148849,0.687736149330317,2.5567826648397536
17VDH-SRW03-143,18VDH-FHB-MAS07-164-01,-0.0754621310297312,1.3122670162540298,0.4904848886324304,0.687736149330317,2.0000031655843467
17VDH-SRW03-143,GA141045-9-3-2-21LE7,-0.21952148523961099,0.9060771886567616,-0.2368406920580744,0.687736149330317,1.5938133379870787
17VDH-SRW03-143,GA15577-3-10-2 -22LE38,0.251198585667606,1.1828776269058376,0.1751006491832321,0.5149778013060559,1.6978554282118936
17VDH-SRW03-143,GA17034ID-22-3-5-23LE29,-0.269627764886595,1.3609316371269655,0.5885926836021187,0.687736149330317,2.0486677864572824
17VDH-SRW03-143,LA14272C-20-1-1-3-1-3,-0.210829823169103,1.0976326265715832,-0.14887691949797272,0.687736149330317,1.7853687759019001
17VDH-SRW03-143,LA15166-LDH272-22,0.0698742408026753,1.3570903032097523,0.7275972419683668,0.6396811080233058,1.9967714112330581
17VDH-SRW03-143,LA17006LDH042,-0.128191975110692,0.9669687222791532,0.6247169095636783,0.687736149330317,1.65470487160947
17VDH-SRW03-143,LA17179C-30-4,-0.176471152173355,1.3223628496104014,0.07699827438646457,0.687736149330317,2.0100989989407183
17VDH-SRW03-143,LAAR15172W-42-1-3-1-3,-0.117859252581857,1.1262536088629291,-0.12703970490026384,0.687736149330317,1.8139897581932463
17VDH-SRW03-143,SC22W378,-0.16379226908164,1.1522252740307746,-0.16638429000631844,0.687736149330317,1.8399614233610917
17VDH-SRW03-143,SCLA18WF0712-12,-0.245902317623751,1.3848211088271318,0.40844855386025997,0.687736149330317,2.072557258157449
17VDH-SRW03-143,TX20D5143,0.34414508649298,1.4915408119490028,0.6728119818911952,0.45105513273468606,1.942595944683689
17VDH-SRW03-143,376_15,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,ARS19W0318,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,IL17-8930,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,LA16009BSP-31-4-1,-0.201370153436479,0.7908396186980494,0.14425516184553744,0.687736149330317,1.4785757680283664
17VDH-SRW03-143,LANC19-12-5-48  *FHB5A,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,NC13217-W2111,0.0943079333241454,0.7641395819848392,-0.11569513896398968,0.6228771744146689,1.3870167563995082
17VDH-SRW03-143,NC15305-43,-0.0649781280549158,0.6930546458503766,-0.6189793437354347,0.687736149330317,1.3807907951806935
17VDH-SRW03-143,NC21-12732,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,NC22-5229,0.0521546890457144,0.6669541950393938,0.6799291770944795,0.6518674843164973,1.3188216793558911
17VDH-SRW03-143,UX2069-2-2,0,0.7411540598640407,0.14892917502413427,0.687736149330317,1.4288902091943578
17VDH-SRW03-143,LA23001,-0.207520084311861,0.5935624464416434,-0.3012265767896769,0.687736149330317,1.2812985957719603
17VDH-SRW03-143,LA23004,-0.152530404017196,0.7568010481149161,-0.20479548006359183,0.687736149330317,1.444537197445233
17VDH-SRW03-143,LA23014,-0.335489784233039,0.2643719921796843,-0.1502169225881681,0.687736149330317,0.9521081415100013
17VDH-SRW03-143,LA23015,0.0517196030802974,0.9334145225423068,-0.15383337749498205,0.6521667086629809,1.5855812312052877
17VDH-SRW03-143,LA23016,-0.144684664445657,0.9542561376211127,0.22343673341512565,0.687736149330317,1.6419922869514298
